City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Norfolk,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
1,Kazerun,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
2,Cidreira,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
3,Rikitea,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
4,Ushuaia,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
5,Peace River,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
6,Sentyabrskiy,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
7,Leningradskiy,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
8,Chuy,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
9,Nassau,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
10,Pisco,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
11,Butaritari,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
12,Mackenzie,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
13,Kysyl-Syr,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
14,Hami,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
15,Wanaka,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
16,Castro,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
17,Ivanovka,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
18,Iqaluit,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
19,Kimbe,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
20,Srednekolymsk,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
21,Barentsburg,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
22,Gojo,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
23,Busselton,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
24,Saskylakh,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
25,Nyurba,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
26,Mahibadhoo,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
27,Saint-Francois,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
28,Haines Junction,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
29,Saint-Philippe,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
30,Lasa,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
31,Wenzhou,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
32,Sur,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
33,Miranda De Ebro,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
34,Fort Saint James,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
35,Djibo,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
36,Kudchi,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
37,Punta Arenas,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
38,Qaanaaq,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
39,Cape Town,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
40,Nome,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
41,Port Blair,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
42,Nanortalik,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
43,Georgetown,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
44,Bur Gabo,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
45,Jamestown,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
46,Sanandaj,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
47,Tuktoyaktuk,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
48,Barsovo,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
49,Narsaq,42.3584,-71.0598,57.99,22,4,14.97,US,2021-04-04 22:42:50
50,Shetpe,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
51,Lebu,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
52,Mataura,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
53,Talnakh,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
54,Cabo San Lucas,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
55,Puerto Ayora,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
56,Torbay,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
57,Xinmin,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
58,Hithadhoo,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
59,Xianyang,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
60,Etla,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
61,Ruatoria,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
62,Stephenville,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
63,Pacific Grove,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
64,Teya,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
65,Cherskiy,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
66,Bengkulu,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
67,Grand River South East,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
68,Sibolga,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
69,Te Anau,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
70,Nikolskoye,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
71,General Zuazua,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
72,Lipin Bor,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
73,Bredasdorp,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
74,Furano,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
75,High Rock,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
76,Mar Del Plata,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
77,Ulaanbaatar,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
78,Tazovskiy,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
79,Banda Aceh,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
80,Quimper,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
81,Port Alfred,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
82,Bambous Virieux,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
83,Pevek,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
84,Sistranda,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
85,Cairns,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
86,Hermanus,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
87,Albany,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
88,Derzhavinsk,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
89,Berlevag,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
90,Obihiro,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
91,Ancud,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
92,San Patricio,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
93,Taburi,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
94,Alta Floresta,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
95,Changchun,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
96,Kapaa,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
97,Itarema,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
98,Olafsvik,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
99,Oranjemund,44.1667,52.1167,46.49,70,8,7.58,KZ,2021-04-04 22:41:15
100,Galesti,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
101,Hobart,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
102,Ribeira Grande,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
103,Port Shepstone,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
104,Paka,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
105,Severo-Kurilsk,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
106,Chippewa Falls,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
107,Dikson,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
108,Dibulla,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
109,Avarua,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
110,Bodden Town,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
111,Anqiu,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
112,Katsuura,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
113,Shelopugino,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
114,Bonthe,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
115,Himora,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
116,Amderma,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
117,Carnarvon,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
118,Mecca,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
119,Nizhneyansk,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
120,Yellowknife,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
121,Winder,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
122,Amahai,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
123,Sfantu Gheorghe,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
124,Flinders,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
125,Vardo,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
126,Luganville,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
127,Tual,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
128,Sitka,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
129,Graaff-Reinet,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
130,Arraial Do Cabo,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
131,Tsihombe,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
132,Touros,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
133,Ostrovnoy,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
134,Kargat,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
135,Atuona,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
136,Taolanaro,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
137,Fortuna,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
138,Kaitangata,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
139,Isangel,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
140,Antalaha,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
141,Agucadoura,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
142,Vaini,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
143,Tapes,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
144,Murgab,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
145,Zwickau,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
146,Karauzyak,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
147,Sorong,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
148,Soyo,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
149,Jutai,46.5167,24.75,37.4,87,20,2.3,RO,2021-04-04 22:45:06
150,Sao Filipe,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
151,Sarh,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
152,Gat,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
153,Schwandorf,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
154,Ilo,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
155,Fairbanks,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
156,Matadi,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
157,Pundaguitan,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
158,East London,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
159,Yerbogachen,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
160,Makat,14.8961,-24.4956,73.13,75,6,6.51,CV,2021-04-04 22:45:12
