City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
200,Mitsamiouli,KM,81.86,-11.3847,43.2844,Foyer ADM
201,Chase,KM,81.86,-11.3847,43.2844,Foyer ADM
202,Rocha,KM,81.86,-11.3847,43.2844,Foyer ADM
203,Suleja,KM,81.86,-11.3847,43.2844,Foyer ADM
204,Vestmannaeyjar,KM,81.86,-11.3847,43.2844,Foyer ADM
205,Pauini,KM,81.86,-11.3847,43.2844,Foyer ADM
206,Upernavik,KM,81.86,-11.3847,43.2844,Foyer ADM
207,Kholodnyy,KM,81.86,-11.3847,43.2844,Foyer ADM
208,Inhambane,KM,81.86,-11.3847,43.2844,Foyer ADM
209,Great Bend,KM,81.86,-11.3847,43.2844,Foyer ADM
210,Trelew,KM,81.86,-11.3847,43.2844,Foyer ADM
211,Prince Rupert,KM,81.86,-11.3847,43.2844,Foyer ADM
212,Ivanishchi,KM,81.86,-11.3847,43.2844,Foyer ADM
213,Berdigestyakh,KM,81.86,-11.3847,43.2844,Foyer ADM
214,Morehead,KM,81.86,-11.3847,43.2844,Foyer ADM
215,Nisia Floresta,KM,81.86,-11.3847,43.2844,Foyer ADM
216,Salalah,KM,81.86,-11.3847,43.2844,Foyer ADM
217,Maningrida,KM,81.86,-11.3847,43.2844,Foyer ADM
218,Along,KM,81.86,-11.3847,43.2844,Foyer ADM
219,San Carlos,KM,81.86,-11.3847,43.2844,Foyer ADM
220,Macaboboni,KM,81.86,-11.3847,43.2844,Foyer ADM
221,Podgornoye,KM,81.86,-11.3847,43.2844,Foyer ADM
222,Havre-Saint-Pierre,KM,81.86,-11.3847,43.2844,Foyer ADM
223,Sampaloc,KM,81.86,-11.3847,43.2844,Foyer ADM
224,Los Llanos De Aridane,KM,81.86,-11.3847,43.2844,Foyer ADM
225,Attawapiskat,KM,81.86,-11.3847,43.2844,Foyer ADM
226,Linjiang,KM,81.86,-11.3847,43.2844,Foyer ADM
227,Plover,KM,81.86,-11.3847,43.2844,Foyer ADM
228,Mount Isa,KM,81.86,-11.3847,43.2844,Foyer ADM
229,Hasaki,KM,81.86,-11.3847,43.2844,Foyer ADM
230,Bethel,KM,81.86,-11.3847,43.2844,Foyer ADM
231,Lingyuan,KM,81.86,-11.3847,43.2844,Foyer ADM
232,Petropavlovsk-Kamchatskiy,KM,81.86,-11.3847,43.2844,Foyer ADM
233,Tasiilaq,KM,81.86,-11.3847,43.2844,Foyer ADM
234,Colares,KM,81.86,-11.3847,43.2844,Foyer ADM
235,Gorahun,KM,81.86,-11.3847,43.2844,Foyer ADM
236,San Policarpo,KM,81.86,-11.3847,43.2844,Foyer ADM
237,Arrifes,KM,81.86,-11.3847,43.2844,Foyer ADM
238,Fier,KM,81.86,-11.3847,43.2844,Foyer ADM
239,Mercedes,KM,81.86,-11.3847,43.2844,Foyer ADM
240,Alamos,KM,81.86,-11.3847,43.2844,Foyer ADM
241,Clyde River,KM,81.86,-11.3847,43.2844,Foyer ADM
242,Batemans Bay,KM,81.86,-11.3847,43.2844,Foyer ADM
243,High Level,KM,81.86,-11.3847,43.2844,Foyer ADM
244,Maragogi,KM,81.86,-11.3847,43.2844,Foyer ADM
245,Ishigaki,KM,81.86,-11.3847,43.2844,Foyer ADM
246,Susanville,KM,81.86,-11.3847,43.2844,Foyer ADM
247,Goure,KM,81.86,-11.3847,43.2844,Foyer ADM
248,Iracoubo,KM,81.86,-11.3847,43.2844,Foyer ADM
249,Aklavik,KM,81.86,-11.3847,43.2844,Foyer ADM
